ROWID,Country,State LGD Code,State,City,SourceYear,Amount invested for building houses under Pradhan Mantri Awas Yojana,Amount sanctioned for building houses under Pradhan Mantri Awas Yojana,Amount released for building houses under Pradhan Mantri Awas Yojana,Houses sanctioned under Pradhan Mantri Awas Yojana mission,Houses grounded under Pradhan Mantri Awas Yojana mission,Houses completed construction under Pradhan Mantri Awas Yojana mission,YearCode,Year
5249,India,27,Maharashtra,Shikrapur,2021,0.67,0.15,0.15,7,7,7,2021,"Calendar Year (Jan - Dec), 2021"
5250,India,17,Meghalaya,Shillong,2021,14.07,3.23,1.06,211,323,310,2021,"Calendar Year (Jan - Dec), 2021"
5251,India,17,Meghalaya,Shillong CB,2021,2.93,0.35,0.35,21,21,21,2021,"Calendar Year (Jan - Dec), 2021"
5252,India,2,Himachal Pradesh,Shimla,2021,102.74,34.88,16.21,654,504,363,2021,"Calendar Year (Jan - Dec), 2021"
5253,India,2,Himachal Pradesh,Shingla,2021,0.05,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
5254,India,27,Maharashtra,Shinkheda,2021,27.78,6.17,0.18,410,103,11,2021,"Calendar Year (Jan - Dec), 2021"
5255,India,27,Maharashtra,Shirala,2021,12.88,2.46,0.73,160,83,37,2021,"Calendar Year (Jan - Dec), 2021"
5256,India,27,Maharashtra,Shirdi,2021,37.41,7.15,0.55,469,29,29,2021,"Calendar Year (Jan - Dec), 2021"
5257,India,27,Maharashtra,Shirgaon,2021,0.73,0.1,0.1,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
5258,India,27,Maharashtra,Shirgaon (CT),2021,0.42,0.07,0.07,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
5259,India,29,Karnataka,Shirhatti,2021,19.32,7.16,0.85,477,325,95,2021,"Calendar Year (Jan - Dec), 2021"
5260,India,19,West Bengal,Shirirampur,2021,0.28,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
5261,India,27,Maharashtra,Shirol MC,2021,14.72,3.66,1.16,242,175,38,2021,"Calendar Year (Jan - Dec), 2021"
5262,India,27,Maharashtra,Shirpur,2021,0.06,0.01,0.01,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
5263,India,27,Maharashtra,Shirpur-Warwade,2021,49.47,9.99,5.17,595,524,333,2021,"Calendar Year (Jan - Dec), 2021"
5264,India,27,Maharashtra,Shirur,2021,26.35,7.62,0.15,506,8,8,2021,"Calendar Year (Jan - Dec), 2021"
5265,India,27,Maharashtra,Shirur,2021,4.08,0.81,0.81,33,33,33,2021,"Calendar Year (Jan - Dec), 2021"
5266,India,27,Maharashtra,Shirur,2021,163.76,41.1,16.04,2425,622,592,2021,"Calendar Year (Jan - Dec), 2021"
5267,India,27,Maharashtra,Shirur Anantpal,2021,10.07,2.48,,165,0,0,2021,"Calendar Year (Jan - Dec), 2021"
5268,India,9,Uttar Pradesh,Shishgarh,2021,45.47,20.49,11.84,1366,1081,637,2021,"Calendar Year (Jan - Dec), 2021"
5269,India,5,Uttarakhand,Shivalik Nagar,2021,10.66,1.17,1.17,50,50,50,2021,"Calendar Year (Jan - Dec), 2021"
5270,India,29,Karnataka,Shivamogga,2021,636.45,135.23,56.8,9025,3691,1870,2021,"Calendar Year (Jan - Dec), 2021"
5271,India,27,Maharashtra,Shivane,2021,11.46,2.4,2.4,102,102,102,2021,"Calendar Year (Jan - Dec), 2021"
5272,India,27,Maharashtra,Shivane(Bhag),2021,1.45,0.3,0.3,12,12,12,2021,"Calendar Year (Jan - Dec), 2021"
5273,India,8,Rajasthan,Shivdaspura,2021,0.05,,,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
5274,India,9,Uttar Pradesh,Shivli,2021,43.1,19.29,6.48,1286,967,482,2021,"Calendar Year (Jan - Dec), 2021"
5275,India,27,Maharashtra,Shivne (Uttamnagar),2021,1.81,0.36,0.36,15,15,15,2021,"Calendar Year (Jan - Dec), 2021"
5276,India,8,Rajasthan,Shivpura,2021,0.15,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
5277,India,22,Chhattisgarh,Shivpur Charcha,2021,20.51,9.89,8.09,659,649,401,2021,"Calendar Year (Jan - Dec), 2021"
5278,India,8,Rajasthan,Shivpuri,2021,0.32,0.07,0.07,3,3,3,2021,"Calendar Year (Jan - Dec), 2021"
5279,India,23,Madhya Pradesh,Shivpuri,2021,292.25,70.39,40.0,4670,3771,2733,2021,"Calendar Year (Jan - Dec), 2021"
5280,India,9,Uttar Pradesh,Shivrajpur,2021,25.97,10.5,7.64,700,803,451,2021,"Calendar Year (Jan - Dec), 2021"
5281,India,22,Chhattisgarh,Shivrinarayan,2021,16.31,7.91,4.78,527,484,194,2021,"Calendar Year (Jan - Dec), 2021"
