srcStateName,srcSubDistrictName,srcYear,Number of telemetric raingauge Stations Working,Number of telemetric raingauge Stations Under Repair,Number of telemetric raingauge Stations,Annual Normal Rainfall (1961 - 2010) Rainy Days,Annual Normal Rainfall (1961 - 2010) Normal Rainfall,srcDistrictName,YearCode,Year
Karnataka,Bangalore-South,2019-20,45,0,45,54,820,BENGALURU URBAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bangarpet,2019-20,22,0,22,45,764,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bantwal,2019-20,55,5,60,120,3856,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Basavakalyan,2019-20,32,0,32,49,790,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Basavan Bagewadi,2019-20,17,1,18,40,669,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Belagavi,2019-20,57,3,60,79,1363,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Belthangady,2019-20,49,0,49,126,4426,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Belur,2019-20,35,0,35,68,1021,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bhadravathi,2019-20,38,4,42,68,866,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bhalki,2019-20,42,0,42,52,874,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bhatkal,2019-20,17,0,17,113,4322,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bidar,2019-20,37,0,37,55,939,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bijapur,2019-20,19,0,19,40,671,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bilagi,2019-20,21,1,22,39,609,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bramhavara,2019-20,28,0,28,116,4043,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Byadagi,2019-20,19,2,21,57,679,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bynduru,2019-20,18,0,18,114,4428,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chadachana,2019-20,13,0,13,38,552,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Challakere,2019-20,42,0,42,30,485,CHITRADURGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chamarajanagara,2019-20,47,0,47,47,770,CHAMARAJANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Channagiri,2019-20,59,7,66,60,840,DAVANGERE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Channapatna,2019-20,32,1,33,50,861,RAMANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Channarayapatna,2019-20,43,0,43,47,690,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chikballapur,2019-20,25,0,25,53,828,CHIKKABALLAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chikkodi,2019-20,39,0,39,51,666,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chikmagalur,2019-20,46,1,47,68,836,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chiknayakanahalli,2019-20,30,1,31,46,761,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chincholi,2019-20,31,1,32,50,913,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
