ROWID,Country,State lgd code,State,Station code,Station name,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of hydrogen value in water,Maximum potential of hydrogen value in water,Minimum conductivity level,Maximum conductivity level,Minimum biochemical oxygen demand,Maximum biochemical oxygen demand,Minimum  of nitrate n + nitrite n required required for ground water,Maximum  of nitrate n + nitrite n required required for ground water,Minimum  of faecal coliforms required for ground water,Maximum   of faecal coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,Source year,Year code,Year
477,India,8,Rajasthan,2020,"NEW FATEHPURA, 200 FT.FROM  PANCHWATI NALLAH, UDAIPUR",20,22,7.2,7.4,2000,2800,,,1.76,1.84,7,11,3,4,2019,2019,"Calendar Year (Jan - Dec), 2019"
478,India,8,Rajasthan,2968,"SH. BHANA RAM KALAL, DHARU  NAGAR, NEAR MAIN MANDIA ROAD, OPP. VILLAGE MANDIA,  PALI, RAJASTHAN",20,20,8.6,8.6,4300,4300,,,2.06,2.06,11,11,7,7,2019,2019,"Calendar Year (Jan - Dec), 2019"
479,India,27,Maharashtra,2008,"RASULWADI-SAMBARWADI, MIRAJSANGLI",20,22,7.6,7.8,958,2036,2.2,2.6,0.4,0.8,6,12,48,84,2018,2018,"Calendar Year (Jan - Dec), 2018"
480,India,27,Maharashtra,2003,"Dug well at Plot No- 4,  Street No. 49-C, at Nehru Bal Udyan Azad Maidan, owned by Yavatmal M.C.  Village- Nehru Bal Udyan Azad Maidan, Taluka- Yavatmal, District- Yavatmal.",20,20,8.8,8.8,1310,1310,5.8,5.8,10.3,10,13,13,21,21,2013,2013,"Calendar Year (Jan - Dec), 2013"
481,India,8,Rajasthan,4797,"BOREWELL NEAR MAIN GATE,  CITY PALACE, NEAR SHEETLA  MATA TEMPLE, UDAIPUR",20,22,7.2,7.7,930,1320,,,1.7,1.84,7,14,4,9,2019,2019,"Calendar Year (Jan - Dec), 2019"
482,India,8,Rajasthan,1415,"WELL OF LOOMJI, CHAUDHARY,  NEAR NAYAGAON, PALI, (U/S 1  KM. FROM PALI TOWN),  RAJASTHAN",20,20,7.9,7.9,3500,3500,,,2.11,2.11,14,14,9,9,2019,2019,"Calendar Year (Jan - Dec), 2019"
483,India,28,Andhra Pradesh,1513,"B W. - KRISHNA MURTHY, D.NO.  48-16-43 AUTONAGAR VIJJAYAWADA, KRISNA DIST., A.P.",20,20,7.7,7.7,1534,1534,0.6,0.6,3.6,4,1,20,3,120,2013,2013,"Calendar Year (Jan - Dec), 2013"
484,India,17,Meghalaya,1636,"INDUSTRIAL ESTATE,  BYRNIHAT",20,25,6.5,6.5,204,242,1.5,1.6,1.6,3,16,20,32,40,2016,2016,"Calendar Year (Jan - Dec), 2016"
485,India,17,Meghalaya,1636,NARBONG,20,22,6.5,6.5,200,240,1,1.4,6.8,6.8,17,22,34,41,2013,2013,"Calendar Year (Jan - Dec), 2013"
486,India,27,Maharashtra,2827,BORE WELL NEAR RAILWAY  CROSSING AT DONGRI BUZURG.,20,24,7.5,7.92,496,840,4.4,5,0.74,1.32,8,22,50,80,2012,2012,"Calendar Year (Jan - Dec), 2012"
487,India,21,Odisha,3967,"NEAR RAILWAY STATION STAND,  BERHAMPUR",20,24,7.6,7.8,988,1338,0.2,0.3,5.31,5.82,13,23,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
488,India,27,Maharashtra,2000,"BHANDEWARI, NAGPUR",20,22,8.15,8.6,1010,1360,6.2,7.2,1.88,2.62,13,27,34,170,2012,2012,"Calendar Year (Jan - Dec), 2012"
490,India,27,Maharashtra,1994,"TPS-DURGAPUR, CHANDRAPUR",20,22,7.5,7.65,636,1530,3.6,4.8,10.2,36.85,13,33,40,130,2012,2012,"Calendar Year (Jan - Dec), 2012"
491,India,18,Assam,1538,"*SILCHAR, ASSAM",20,24,4.7,5.4,100,149,0.3,1,2.5,4.8,0,36,0,4600,2014,2014,"Calendar Year (Jan - Dec), 2014"
492,India,27,Maharashtra,2002,"AKOT, AKOLA",20,25,7.82,8.03,512,1032,4.4,5.6,0.98,3.62,13,40,30,140,2012,2012,"Calendar Year (Jan - Dec), 2012"
493,India,27,Maharashtra,1995,"KHAPERKHEDA, NAGPUR",20,22,7.96,8.5,934,1136,5,6.8,1.48,1.88,11,40,23,110,2012,2012,"Calendar Year (Jan - Dec), 2012"
494,India,27,Maharashtra,1997,"RAIPUR, NAGPUR",20,20,7.86,7.9,1512,1849,5.2,40,4.8,13.2,40,40,110,130,2012,2012,"Calendar Year (Jan - Dec), 2012"
495,India,9,Uttar Pradesh,2471,"GORAKHPUR INDUSTRIAL  DEVELOPMENT AUTHORITY AREA (GIDA), GORAKHPUR",20,23,8,8,486,496,2.2,2.6,0.3,0.4,40,60,100,110,2014,2014,"Calendar Year (Jan - Dec), 2014"
496,India,9,Uttar Pradesh,2471,"GORAKHPUR INDUSTRIAL  DEVELOPMENT AUTHORITY  AREA (GIDA), GORAKHPUR",20,28,7.9,8,492,512,2.4,2.8,0.4,0.4,40,60,80,168,2016,2016,"Calendar Year (Jan - Dec), 2016"
497,India,27,Maharashtra,1996,"KORADI, NAGPUR",20,22,7.9,8.2,1480,1820,6,8,4.96,12.6,14,60,26,140,2012,2012,"Calendar Year (Jan - Dec), 2012"
498,India,28,Andhra Pradesh,1520,"B/W. - SWARNAMUKHI RIVER,  SRIKALAHASTI, CHITTOOR DIST.",20,26,7.36,8.4,829,1428,1.4,3,0.4,14,4,140,6,1200,2012,2012,"Calendar Year (Jan - Dec), 2012"
499,India,27,Maharashtra,2001,"PARATWADA, ACHALPUR,  AMRAVATI",20,20,7.8,7.8,257,257,3.4,3.4,0.61,0.61,140,140,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
500,India,27,Maharashtra,2828,"DUG WELL NEAR JILLA PARISHAD  PRIMARY SCHOOL, VISAPUR,  BALLARPUR, CHANDRAPUR",20,20,7.7,7.7,203,203,3.4,3.4,0.58,0.58,220,220,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
501,India,18,Assam,2259,"GROUND WATER FROM DIPHU  (GOVT. COLLEGE), ASSAM",20,27,7.2,8.1,56,739,1.2,4,1.1,2,2,2000,2,730,2019,2019,"Calendar Year (Jan - Dec), 2019"
502,India,21,Odisha,3987,"BELPAHAR AREA, JHARSUGUDA",20,40,7.4,8.6,414,526,0.8,1.5,0.85,1.13,2,9200,2,16000,2017,2017,"Calendar Year (Jan - Dec), 2017"
503,India,2,Himachal Pradesh,1882,GROUND WATER AT MEHATPUR  INDUSTRIAL AREA,20,20,7.8,7.8,76,76,0.1,0.1,0,0,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
504,India,2,Himachal Pradesh,2639,HAND PUMP AT CHAMUNDA  DEVI TEMPLE/ TOWN,20,20,7.2,7.7,141,183,0.1,0.2,0.1,0.3,,,3.7,3.7,2016,2016,"Calendar Year (Jan - Dec), 2016"
505,India,2,Himachal Pradesh,2643,HAND PUMP AT SOLAN,20,20,7.1,7.4,266,392,0.1,0.2,0,0.3,,,2,2,2014,2014,"Calendar Year (Jan - Dec), 2014"
506,India,2,Himachal Pradesh,2638,HAND PUMP AT CHINTPURNI  TEMPLE/ TOWN,20,22,7.5,8,640,689,0.2,0.3,1.2,2.9,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
507,India,2,Himachal Pradesh,1561,"AT DAMTAL, H.P",20,20,7.6,8.2,739,772,0.5,0.5,2,4.3,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
508,India,2,Himachal Pradesh,2640,HAND PUMP AT SANSARPUR  TERRACE IA,20,21,7.6,7.7,361,388,0.2,0.6,1.1,1.6,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
509,India,28,Andhra Pradesh,3087,"BORE WELL NEAR VILLAGE  SECRETARIAT, PATHAPADU (V), KRISHNA, A.P.",20,20,8,8,1990,1990,0.8,0.8,4.68,5,,,600,600,2013,2013,"Calendar Year (Jan - Dec), 2013"
510,India,18,Assam,2249,GROUND WATER FROM TEZPUR  (MISSION CHARIALI),20,24,6.6,6.8,127,142,0.4,1.4,0.1,0.17,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
511,India,24,Gujarat,3230,"BOREWELL OF GIDC, JUNAGADH",20,24,7.2,8.2,4470,4500,1.2,1.6,1.1,1.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
512,India,18,Assam,2247,GROUND WATER FROM  SILAPATHAR,20,23,6.6,6.8,274,752,0.4,1.8,0.5,1,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
513,India,8,Rajasthan,2964,"WELL AT INDIA PUBLIC SCHOOL,  MANPUR MACHERI, JAIPUR, RAJASTHAN",20,27,7.5,8.5,970,1060,0.8,1.8,0.42,0,,,4,4,2013,2013,"Calendar Year (Jan - Dec), 2013"
514,India,9,Uttar Pradesh,1752,"SAHIBABAD INDUSTRIAL AREA,  GHAZIABAD, U.P",20,22,7,7.5,1363,1930,1.8,1.8,0,0,,,4,4,2012,2012,"Calendar Year (Jan - Dec), 2012"
515,India,15,Mizoram,3732,"CHALTLANG HAND PUMP, NEAR  REMI TYRE WORKS",20,21,5.6,8.9,,,1.9,1.9,0.04,0.15,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
516,India,15,Mizoram,3729,"BAWNGKAWN HAND  PUMP,NEAR HB PETROL PUMP",20,21,5.7,5.9,,,1.9,1.9,0.03,0.2,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
517,India,5,Uttarakhand,1748,"HANDPUMP IN VILLAGE DAMAUDA  AT KASHIPUR NEAR M/S INDIA GLYCOLES LTD., U.P",20,20,7.8,7.8,380,380,2,2,0,0,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
518,India,9,Uttar Pradesh,1753,"MEERUT ROAD INDUSTRIAL AREA  GHAZIABAD, U.P",20,22,6.8,7,1137,1152,2.2,2.2,2.7,2.83,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
519,India,9,Uttar Pradesh,1754,"HAPUR ROAD INDUSTRIAL  AREA GHAZIABAD, U.P",20,22,7.2,7.5,1700,1730,2.1,2.4,2,2,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
520,India,18,Assam,2243,"GROUND WATER FROM LEDO, MARGHERITA",20,24,6.3,7.6,222,224,1.4,2.5,0.1,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
521,India,18,Assam,1535,"*SIBSAGAR , ASSAM",20,27,6.2,6.7,243,365,1.2,2.5,0.1,0.25,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
522,India,9,Uttar Pradesh,1755,"PILKHUA INDUSTRIAL AREA  GHAZIABAD, U.P",20,23,7.5,7.5,980,1090,2.5,2.6,2,2.81,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
523,India,18,Assam,2248,GROUND WATER FROM LAKHIMPUR  TOWN,20,27,6.1,6.6,73,212,1.1,2.8,1.01,1,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
524,India,8,Rajasthan,2989,"WELL OF BABULAL UKKAD JI  MALI, SAKARNA BERA, BALOTRA, , JODHPUR, RAJASTHAN",20,20,7.8,7.8,11700,11700,2.8,2.8,12,12,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
525,India,9,Uttar Pradesh,1755,"PILKHUA INDUSTRIAL AREA  GHAZIABAD, U.P",20,22,7.3,7.5,810,884,3,3,0.07,0.08,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
526,India,18,Assam,2246,GROUND WATER FROM  SEMENCHAPARI,20,24,6.4,6.8,139,468,1.7,3.1,0.1,0.2,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
527,India,18,Assam,2244,GROUND WATER FROM NAZIRA,20,25,6.4,6.8,283,286,2.7,3.4,0.1,0.2,,,1,5,2012,2012,"Calendar Year (Jan - Dec), 2012"
528,India,18,Assam,2247,GROUND WATER FROM  SILAPATHAR,20,24,6.3,6.3,255,292,2.5,3.5,0.1,0.21,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
529,India,1,Jammu And Kashmir,2762,"R.S. PURA TEHSIL, JAMMU",20,22,8.6,8.8,790,1000,2.8,7.5,0.23,0.38,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
530,India,8,Rajasthan,2987,"CWR OF PHED, BHITUJA,  RAJASTHAN",20,20,8,8,8300,8300,7.8,7.8,5.7,5.7,,,4,4,2014,2014,"Calendar Year (Jan - Dec), 2014"
531,India,1,Jammu And Kashmir,2762,"R.S. PURA TEHSIL, JAMMU",20,22,8.6,8.6,1140,1920,15,32,0.2,0.43,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
533,India,36,Telangana,4290,B/W NEAR PITTAM  PEDDAKAPARTHI VIKKAGE  (OPEN LAND BESIDE VILLAGE  ROAD) CHITYAL MANDAL,20,20,7.1,7.1,325,325,,,11.15,11.15,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
534,India,23,Madhya Pradesh,2143,"KATHODA, JABALPUR",20,20,7.4,7.8,338,566,,,0,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
535,India,9,Uttar Pradesh,2480,"NEAR BRAHMAN MAJRA,  PILKHANI",20,20,7.5,7.5,380,380,,,0,0,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
536,India,5,Uttarakhand,3455,GROUND WATER AT  ROORKEE INDUSTRIAL AREA-  2,20,20,7.1,7.5,581,581,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
537,India,9,Uttar Pradesh,2474,"India Marka hand  pump,Unchahar, Raebareli",20,21,7.7,7.8,601,792,,,0.3,0.3,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
538,India,9,Uttar Pradesh,2481,"NEAR PEER BEGRAJ  INDSTRIAL AREA,  MUZAFFARNAGAR",20,20,7.2,7.2,610,610,,,1.5,1.5,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
539,India,9,Uttar Pradesh,1750,TUBE WELL AT BAGPAT CITY,20,20,7.2,7.2,610,610,,,2.8,2.8,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
540,India,27,Maharashtra,2474,UNCHAHAAR (NEAR THERMAL  POWER PLANT,20,22,7.7,7.9,611,801,,,0.28,0,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
541,India,9,Uttar Pradesh,1749,TUBE WELL AT MEERUT CITY,20,20,7.3,7.3,680,680,,,3.8,3.8,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
542,India,9,Uttar Pradesh,2473,"KHEKRA, BAGHPAT",20,20,7.6,7.6,690,690,,,3.4,3.4,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
543,India,9,Uttar Pradesh,1746,"NAGAR PALIKA TUBE WELL,  SULTANPUR",20,22,7.6,7.7,811,811,,,0.1,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
544,India,5,Uttarakhand,3451,"GROUND WATER AT SIDCUL  INDUSTRIAL AREA- 2,  HARIDWAR",20,20,7.4,7.4,960,960,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
545,India,9,Uttar Pradesh,1747,"INDIA MARKA HAND PUMP IN  SAROWNI BLOCK AT  RAIBAREILLY, U.P",20,20,8,8,1189,1189,,,0.16,0.16,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
546,India,9,Uttar Pradesh,1745,PANKI INDUSTRIAL AREA  NEAR INDUSTRY OF  AMMONIA FERTIZER  KANPUR,20,20,7.1,7.1,1428,1428,,,5.2,5.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
547,India,36,Telangana,3088,"B/W AT J.NARASIMHA RAOâS  HOUSE, 14NOS. AREA, RAMAVARAM, NEAR MWS DUMPSITE, KOTHAGUDEM, KHAMMAM, A.P.",20,20,7.2,7.2,1700,1700,,,0.7,0.7,,,400,400,2014,2014,"Calendar Year (Jan - Dec), 2014"
548,India,9,Uttar Pradesh,1744,JAJMAU INDUSTRIAL AREA  NO. 6 KANPUR,20,20,7.3,7.3,2554,2554,,,3.6,3.6,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
549,India,9,Uttar Pradesh,1746,"NAGAR PALIKA TUBE WELL,  SULTANPUR, U.P",20,23,7.5,7.8,,,,,,,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
550,India,23,Madhya Pradesh,3344,"TUBEWELL AT INDL AREA, SHAHDOL",20.2,35,8,8.2,522,1214,0.3,0.5,1.2,2.4,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
551,India,8,Rajasthan,2985,"WELL OF GIRDHARI RAM MEGHWAL,  VILLAGE- NANDWAN, JODHPUR",20.4,23.4,7.15,7.4,14200,14200,1.1,1.25,0.14,0.3,3,4,7,14,2012,2012,"Calendar Year (Jan - Dec), 2012"
552,India,2,Himachal Pradesh,2629,HAND PUMP AT MANDI TOWN,20.5,21,7.47,7.78,591,703,,,0.56,2.354,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
553,India,9,Uttar Pradesh,1754,"HAPUR ROAD INDUSTRIAL  AREA GHAZIABAD, U.P",20.8,22,7.2,7.5,544,544,2.4,2.4,1.25,1.33,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
554,India,10,Bihar,1828,PATNA,21,23,7.19,7.5,506,842,,,,,1,1,2,2,2012,2012,"Calendar Year (Jan - Dec), 2012"
555,India,21,Odisha,3980,"THELKOI, JHARSUGUDA",21,21,6.9,6.9,241,241,0.4,0.4,0.19,0.19,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
556,India,19,West Bengal,1940,NEAR THE PHOSPHATE  COMPANY-RISHRA,21,27,7.3,7.4,560,893,0.3,0.4,0.27,0.56,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
557,India,2,Himachal Pradesh,1558,AT BADDI,21,21,7.5,7.5,1262,1262,0.5,0.5,0,0.1,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
558,India,2,Himachal Pradesh,1557,"AT PARWANOO, H.P",21,21,7.5,7.5,316,316,0.6,0.6,0,0,2,2,2,2,2013,2013,"Calendar Year (Jan - Dec), 2013"
559,India,2,Himachal Pradesh,1559,AT BAROTIWALA,21,21,7.6,7.6,454,454,0.6,0.6,0,0.1,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
560,India,28,Andhra Pradesh,4395,"BOREWELL AT APLLC OFFICE  INDUSTRIAL ESTATE,  ANANTAPURAM (M)",21,25,6.7,7.2,2240,2820,0.7,0.7,1.9,2.7,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
561,India,2,Himachal Pradesh,2646,HAND PUMP AT KALA AMB,21,24,6.9,8.3,436,1250,0.7,0.8,0.6,0.8,1,2,5,5,2014,2014,"Calendar Year (Jan - Dec), 2014"
562,India,28,Andhra Pradesh,1518,BOREWELL AT NANDYAL  (KUNDU),21,23,6.8,7.2,6620,7410,0.7,0.8,2.1,3.96,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
563,India,4,Chandigarh,2042,"SECTOR 47, CHANDIGARH",21,24,7.2,7.4,662,721,1,1,4.6,4.9,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
564,India,28,Andhra Pradesh,1517,BOREWELL NEAR TUNGBHADRA RIVER  KURNOOL,21,23,7.6,7.9,2240,4700,0.7,1,2.12,4.4,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
565,India,18,Assam,4001,GROUND WATER FROM PANJABARI,21,27,6.6,6.9,341,362,1,1.3,0.4,3,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
566,India,18,Assam,2261,"GROUND WATER FROM HAFLONG, ASSAM",21,23,5.7,7.3,120,120,1,1.4,0.1,0.1,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
567,India,36,Telangana,4283,"B/W NEAR DANTUR (OPEN  LAND), POCHAMPALLY MANDAL",21,21,6.7,7.4,2915,3920,2,2,32.15,32.15,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
568,India,36,Telangana,27,WELL AT PEDDAVOORA,21,21,7.3,7.6,514,1577,2.4,2.4,15.29,15.29,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
569,India,36,Telangana,1811,"B/W. - PRIMARY SCHOOL -  RUDRAVELLI (V) , BIBINAGAR  (M), NALGONDA DIST.",21,21,7.2,7.6,1847,1900,2.7,2.7,0.35,18.35,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
570,India,36,Telangana,4285,"B/W NEAR PEDDAKONDUR  VILLAGE (AGRICULTURAL FIELD),  CHOUTUPPAL MANDAL",21,21,7.2,7.2,1259,2775,3,3,27.26,27.26,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
1262,India,3,Punjab,2924,MANDI GOBINDGARH,24,24,7.4,7.5,839,929,,,5.6,5.8,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
571,India,36,Telangana,4281,B/W NEAR BHIMANPALLI  VILLAGE (OPEN LAND )  POCHAMPALLY MANDAL,21,21,7.2,7.3,3010,4290,3.3,3.3,25.17,25.17,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
572,India,18,Assam,1534,"GROUND WATER AT KARBI  ANGLONG DISTT., ASSAM",21,26,6.6,7,60,97,1.6,3.8,1,1.1,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
573,India,10,Bihar,3161,KATIHAR-HAND PUMP WATER AT BUS STAND,21,23,7.2,7.3,259,585,,,0,0,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
574,India,10,Bihar,2586,"HAND PUMP WATER AT BUS STAND, KATIHAR",21,23,7.2,7.4,540,585,,,0,0,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
575,India,36,Telangana,4286,B/W NEAR ANKIREDDIGUDAM  VILLAGE (AGRUCULTURAL FIELD)  CHOUTUPPAL MANDAL,21,21,7,7.1,678,2031,,,27.42,27.42,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
576,India,10,Bihar,3156,SAMASTIPUR-HANDPUMP WATER AT BUS STAND,21,23,7.6,7.7,682,1060,,,0,0,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
577,India,8,Rajasthan,2023,"HOTEL ORIENT PLACE, SUBHAS  NAGAR, UDAIPUR",21,23,7.38,7.57,1900,2200,0.33,0.8,0.72,6,3,3,7,7,2012,2012,"Calendar Year (Jan - Dec), 2012"
578,India,2,Himachal Pradesh,2645,HAND PUMP AT NAHAN,21,24.5,6.7,7.9,600,648,0.8,0.9,0.8,0.8,1,3,5,8,2014,2014,"Calendar Year (Jan - Dec), 2014"
579,India,27,Maharashtra,2008,"RASULWADI-SAMBARWADI, SANGLI",21,21,7.5,7.6,2389,2584,2.6,3.2,0.94,2.11,4,4,31,31,2017,2017,"Calendar Year (Jan - Dec), 2017"
580,India,21,Odisha,3993,"KAMARDA, SUKINDA",21,22,7.5,8.1,142,491,0.3,14.6,0.3,1.4,2,5,2,79,2018,2018,"Calendar Year (Jan - Dec), 2018"
581,India,2,Himachal Pradesh,2637,HAND PUMP AT JWALAJI TEMPLE,21,24,7.21,8.6,133,1350,0.5,0.6,0.05,2.02,7,7,17,17,2012,2012,"Calendar Year (Jan - Dec), 2012"
582,India,2,Himachal Pradesh,2639,HAND PUMP AT CHAMUNDA DEVI  TEMPLE/ TOWN,21,22,6.78,8.22,80,133,0.8,1,2.82,3.98,7,7,17,17,2012,2012,"Calendar Year (Jan - Dec), 2012"
583,India,10,Bihar,2591,WELL-1 AT NALANDA,21,23,8.2,8.21,694,716,,,,,2,7,17,17,2012,2012,"Calendar Year (Jan - Dec), 2012"
584,India,10,Bihar,2578,BHOJPUR,21,30,7.4,7.7,676,1140,,,,,8,8,17,23,2013,2013,"Calendar Year (Jan - Dec), 2013"
585,India,28,Andhra Pradesh,4382,"BOREWELL WATER POLICE  STATION, AUTONAGAR,  PEDAKAKANI, GUNTUR",21,21,7.5,7.5,3800,3800,0.8,0.8,6,6,15,15,3,3,2019,2019,"Calendar Year (Jan - Dec), 2019"
586,India,23,Madhya Pradesh,2143,"KATHODA, JABALPUR",21,21,7.5,7.6,360,440,0.2,0.4,0.3,0.6,2,18,2,18,2018,2018,"Calendar Year (Jan - Dec), 2018"
587,India,27,Maharashtra,1994,"TPS-DURGAPUR, CHANDRAPUR",21,26,7.2,7.8,934,1145,4.2,5.3,0.1,3.6,2,26,26,140,2018,2018,"Calendar Year (Jan - Dec), 2018"
588,India,9,Uttar Pradesh,1737,"GROUND WATER QUALITY  STATION CAPTANGANJ, U.P",21,24,6.9,6.9,744,786,3.4,3.6,2.7,3,30,40,60,80,2014,2014,"Calendar Year (Jan - Dec), 2014"
589,India,32,Kerala,2320,WELL AT MANJERI,21,30,6.3,7.3,236,256,0.5,1.6,0.15,1.25,18,70,10,38,2019,2019,"Calendar Year (Jan - Dec), 2019"
590,India,2,Himachal Pradesh,2643,HAND PUMP AT SOLAN,21,24.5,7.09,7.83,393,438,0.1,1,2.71,3.18,11,84,27,210,2012,2012,"Calendar Year (Jan - Dec), 2012"
591,India,32,Kerala,1589,"WELL AT MALAPURAM , KERALA",21,30,6.5,7.6,332,730,0.6,1.6,0.25,1.6,24,84,10,34,2019,2019,"Calendar Year (Jan - Dec), 2019"
592,India,19,West Bengal,2526,FULBARI BARRAGE,21,28,6.3,7.7,116,260,0.6,2,0.2,0.3,50,130,130,500,2016,2016,"Calendar Year (Jan - Dec), 2016"
593,India,28,Andhra Pradesh,4380,"BOREWELL WATER , SRI  VENKATESWARA SWAMY  TEMPLE, VENKATAPALEM (V),  TULLUR (M)",21,22,7.1,7.5,782,972,0.8,0.8,3.6,4.97,28,220,2,3,2019,2019,"Calendar Year (Jan - Dec), 2019"
594,India,21,Odisha,3986,"IB THERMAL POWER STATION, JHARSUGUDA",21,39,7.1,7.9,269,315,0.1,0.8,0.4,3.81,2,540,2,92000,2017,2017,"Calendar Year (Jan - Dec), 2017"
595,India,10,Bihar,3147,GROUND WATER FROM  JAYNAGAR,21,21,7.5,7.5,596,596,,,0.23,0.23,1600,1600,280,280,2019,2019,"Calendar Year (Jan - Dec), 2019"
596,India,10,Bihar,1838,"GROUND WATER FROM TAP  WATER NEAR VEER KUWAR  SINGH CHOWK, MUNGER",21,21,7.4,7.4,1480,1480,,,0.4,0.4,1600,1600,920,920,2019,2019,"Calendar Year (Jan - Dec), 2019"
597,India,18,Assam,2244,GROUND WATER FROM NAZIRA,21,25,6.3,6.9,520,604,0.8,1.4,3.3,3.8,0,9300,36,9301,2014,2014,"Calendar Year (Jan - Dec), 2014"
598,India,9,Uttar Pradesh,2480,"NEAR BRAHMAN MAJRA, PILKHANI",21,22,7.1,7.4,375,450,0,0,0,0,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
599,India,9,Uttar Pradesh,1742,"CHINHAT INDUSTRIAL AREA IN  LUCKNOW NEAR M/S INDIA PESTICIDES LUCKNOW, U.P",21,29,7.1,7.3,618,634,0.1,0.1,0,0.3,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
600,India,2,Himachal Pradesh,1556,"AT PAONTA SAHIB, H.P",21,21,7.1,7.7,780,910,0.1,0.1,0.3,0.6,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
601,India,2,Himachal Pradesh,1879,NALAGARH INDUSTRIAL AREA,21,21,7.8,7.8,761,761,0.2,0.2,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
